127.0.0.1 - - [05/Jan/2022:18:18:51 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Jan/2022:18:18:52 +0530] "GET /jsp-jstl/jstl-core-tag.jsp HTTP/1.1" 500 2749
0:0:0:0:0:0:0:1 - - [05/Jan/2022:18:31:11 +0530] "GET /jsp-jstl/jstl-core-tag.jsp HTTP/1.1" 500 2643
0:0:0:0:0:0:0:1 - - [05/Jan/2022:18:31:45 +0530] "GET /jsp-jstl/jstl-core-tag.jsp HTTP/1.1" 500 2749
0:0:0:0:0:0:0:1 - - [05/Jan/2022:18:32:00 +0530] "GET /jsp-jstl/jstl-core-tag.jsp HTTP/1.1" 500 2749
0:0:0:0:0:0:0:1 - - [05/Jan/2022:18:34:02 +0530] "GET /jsp-jstl/jstl-core-tag.jsp HTTP/1.1" 500 2749
0:0:0:0:0:0:0:1 - - [05/Jan/2022:18:36:24 +0530] "GET /jsp-jstl/jstl-core-tag.jsp HTTP/1.1" 500 2749
0:0:0:0:0:0:0:1 - - [05/Jan/2022:18:39:33 +0530] "GET /jsp-jstl/jstl-core-tag.jsp HTTP/1.1" 500 2749
0:0:0:0:0:0:0:1 - - [05/Jan/2022:19:18:35 +0530] "GET /jsp-jstl/jstl-core-tag.jsp HTTP/1.1" 500 2749
0:0:0:0:0:0:0:1 - - [05/Jan/2022:19:30:31 +0530] "GET /jsp-jstl/home.jsp HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [05/Jan/2022:19:38:12 +0530] "GET /jsp-jstl/notFoundError.jsp HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [05/Jan/2022:19:38:12 +0530] "GET /jsp-jstl/Images/404-img.jpg HTTP/1.1" 200 6189
0:0:0:0:0:0:0:1 - - [05/Jan/2022:19:39:37 +0530] "GET /jsp-jstl/notFoundError.jsp HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [05/Jan/2022:19:39:37 +0530] "GET /jsp-jstl/Images/404-img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2022:19:39:42 +0530] "GET /jsp-jstl/Home.jsp HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [05/Jan/2022:19:40:24 +0530] "GET /jsp-jstl/notFoundError.jsp HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [05/Jan/2022:19:40:24 +0530] "GET /jsp-jstl/Images/404-img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2022:19:40:24 +0530] "GET /jsp-jstl/notFoundError.jsp HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [05/Jan/2022:19:40:24 +0530] "GET /jsp-jstl/Images/404-img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2022:19:40:24 +0530] "GET /jsp-jstl/notFoundError.jsp HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [05/Jan/2022:19:40:24 +0530] "GET /jsp-jstl/Images/404-img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2022:19:40:28 +0530] "GET /jsp-jstl/home.jsp HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [05/Jan/2022:19:43:11 +0530] "GET /jsp-jstl/jstl-core-tag.jsp HTTP/1.1" 500 2749
